(env) D:\jpynb\python_tur\ex5>python cj2big5.py
['為', '戈大弓火']
['豐', '山十一口廿']
['富', '十一口田']
['同', '月一口']
['學', '竹月弓木']
['們', '人日弓']
['的', '竹日心一']
['校', '木卜金大']
['園', '田土口女']
['文', '卜大']
['化', '人心']
['培', '土卜廿口']
['養', '廿人戈日女']
['閱', '日弓金口山']
['讀', '卜口土田金']
['習', '尸一竹日']
['慣', '心田十金']
['和', '竹木口']
['興', '竹X月金']
['趣', '土人尸十水']
['在', '大中土']
['世', '心廿']
['界', '田人中中']
['讀', '卜口土田金']
['書', '中土日']
['日', '日']
['來', '木人人']
['臨', '尸中人口口']
['之', '戈弓人']
['際', '弓中月人火']
['培', '土卜廿口']
['華', '廿一廿十']
['中', '中']
['學', '竹月弓木']
['語', '卜口一一口']
['文', '卜大']
['科', '竹木卜十']
['組', '女火月一']
['於', '卜尸人卜']
['四', '田竹山']
['月', '月']
['十', '十']
['九', '大弓']
['日', '日']
['至', '一戈土']
['廿', '廿']
['三', '一一一']
['日', '日']
['舉', '竹金手']
['辦', '卜十大尸十']
['豐', '山十一口廿']
['富', '十一口田']
['多', '弓戈弓戈']
['彩', '月木竹竹竹']
['的', '竹日心一']
['讀', '卜口土田金']
['書', '中土日']
['節', 'X竹竹尸中']
['活', '水竹十口']
['動', '竹土大尸']
['師', '竹口一中月']
['生', '竹手一']
['齊', '卜X']
['享', '卜口弓木']
['閱', '日弓金口山']
['讀', '卜口土田金']
['時', '日土木戈']
['光', '火一山']
['感', '戈口心']
['受', '月月水']
['傳', '人十戈戈']
['統', '女火卜戈山']
['經', '女火一女一']
['典', '廿月金']
['文', '卜大']
['化', '人心']
['魅', '竹戈十木']
['力', '大尸']
['領', '人中一月金']
['略', '田竹水口']
['書', '中土日']
['香', '竹木日']
['雅', '一竹人土']
['韻', '卜日口月金']
['讀', '卜口土田金']
['書', '中土日']
['節', 'X竹竹尸中']
['活', '水竹十口']
['動', '竹土大尸']
['豐', '山十一口廿']
['富', '十一口田']
['多', '弓戈弓戈']
['彩', '月木竹竹竹']
['早', '日十']
['讀', '卜口土田金']
['課', '卜口田木']
['師', '竹口一中月']
['生', '竹手一']
['共', '廿金']
['讀', '卜口土田金']
['靜', '手月月尸木']
